word,phonetic_spelling,phonemes
lend,lend,L EH  N D
length,length,L EH  NG K TH
less,les,L EH  S
lesson,LES-uhn,L EH  S AH  N
let,let,L EH  T
letter,LET-er,L EH  T ER
level,LEV-uhl,L EH  V AH  L
library,LYE-brer-ee,L AY  B R EH  R IY
license,LIE-suhns,L AY  S AH  N S
lie,ly,L AY
life,lyf,L AY  F
lifestyle,LIEF-stahyl,L AY  F S T AY  L
lift,lift,L IH  F T
like,lyke,L AY  K
likely,LYK-lee,L AY  K L IY
limit,LIM-it,L IH  M AH  T
limited,LIM-i-tid,L IH  M AH  T AH  D
line,lyn,L AY  N
link,link,L IH  NG K
lion,LYE-uhn,L AY  AH  N
lip,lip,L IH  P
liquid,LIK-wid,L IH  K W AH  D
list,list,L IH  S T
listen,LIS-uhn,L IH  S AH  N
listener,LIS-uh-nur,L IH  S AH  N ER
literature,LIT-uh-ruh-chur,L IH  T ER  AH  CH ER
little,LIT-uhl,L IH  T AH  L
live,liv,L AY  V
live,lyv,L AY  V
lively,LYV-lee,L AY  V L IY
living,LIV-ing,L IH  V IH  NG
load,lohd,L OW  D
loan,lohn,L OW  N
local,LOH-kuhl,L OW  K AH  L
locate,loh-KAYT,L OW  K EY  T
located,loh-KAY-tid,L OW  K EY  T AH  D
location,loh-KAY-shun,L OW  K EY  SH AH  N
lock,lok,L AA  K
logical,LAH-ji-kuhl,L AA  JH IH  K AH  L
lonely,LOHN-lee,L OW  N L IY
long,lawng,L AO  NG
long-term,lawng-turm,L AO  NG T ER  M
look,look,L UH  K
loose,loos,L UW  S
lord,lawrd,L AO  R D
lose,looz,L UW  Z
loss,lawss,L AO  S
lost,lawst,L AO  S T
lot,lot,L AA  T
loud,lowd,L AW  D
loudly,LOWD-lee,L AW  D L IY
love,luhv,L AH  V
low,loh,L OW
lower,LOH-ur,L OW  ER
luck,luk,L AH  K
lucky,LUK-ee,L AH  K IY
lunch,luhnch,L AH  N CH
lung,luhng,L AH  NG
luxury,LUK-shur-ee,L AH  G ZH ER  IY
machine,muh-SHEEN,M AH  SH IY  N
mad,mad,M AE  D
magazine,MAG-uh-zeen,M AE  G AH  Z IY  N
magic,MAJ-ik,M AE  JH IH  K
mail,mayl,M EY  L
main,mayn,M EY  N
mainly,MAYN-lee,M EY  N L IY
maintain,mayn-TAYN,M EY  N T EY  N
major,MAY-jur,M EY  JH ER
majority,muh-JOR-i-tee,M AH  JH AO  R AH  T IY
make,mayk,M EY  K
male,mayl,M EY  L
mall,mawl,M AO  L
man,man,M AE  N
manage,MAN-ij,M AE  N AH  JH
management,MAN-ij-muhnt,M AE  N AH  JH M AH  N T
manager,MAN-uh-jur,M AE  N AH  JH ER
manner,MAN-ur,M AE  N ER
many,MEN-ee,M EH  N IY
map,map,M AE  P
March,mahrch,M AA  R CH
mark,mahrk,M AA  R K
market,MAHR-kit,M AA  R K AH  T
marketing,MAHR-kit-ing,M AA  R K AH  T IH  NG
marriage,MAR-ij,M EH  R IH  JH
married,MAR-id,M EH  R IY  D
marry,MAR-ee,M EH  R IY
mass,mas,M AE  S
massive,MAS-iv,M AE  S IH  V
master,MAS-tur,M AE  S T ER
matching,MACH-ing,M AE  CH IH  NG
material,muh-TEER-ee-uhl,M AH  T IH  R IY  AH  L
math,math,M AE  TH
mathematics,math-uh-MAT-iks,M AE  TH AH  M AE  T IH  K S
matter,MAT-ur,M AE  T ER
maximum,MAK-sim-uhm,M AE  K S AH  M AH  M
May,may,M EY
may,may,M EY
maybe,MAY-bee,M EY  B IY
mayor,MAY-ur,M EY  ER
me,mee,M IY
meal,meel,M IY  L
mean,meen,M IY  N
meaning,MEEN-ing,M IY  N IH  NG
means,meen(z),M IY  N Z
meanwhile,MEEN-wyl,M IY  N W AY  L
measure,MEH-zhur,M EH  ZH ER
measurement,MEH-zhur-muhnt,M EH  ZH ER  M AH  N T
meat,meet,M IY  T
media,MEE-dee-uh,M IY  D IY  AH
medical,MED-ih-kul,M EH  D AH  K AH  L
medicine,MED-uh-sin,M EH  D AH  S AH  N
medium,MEE-dee-um,M IY  D IY  AH  M
meet,meet,M IY  T
meeting,MEE-ting,M IY  T IH  NG
melt,melt,M EH  L T
member,MEM-bur,M EH  M B ER
memory,MEM-uh-ree,M EH  M ER  IY
mental,MEN-tl,M EH  N T AH  L
mention,MEN-shun,M EH  N SH AH  N
menu,MEN-yoo,M EH  N Y UW
mess,mes,M EH  S
message,MES-ij,M EH  S AH  JH
metal,MET-uhl,M EH  T AH  L
meter,MEE-tur,M IY  T ER
method,METH-uhd,M EH  TH AH  D
middle,MID-uhl,M IH  D AH  L
midnight,MID-nahyt,M IH  D N AY  T
might,myt,M AY  T
mild,myld,M AY  L D
mile,myl,M AY  L
military,MIL-uh-ter-ee,M IH  L AH  T EH  R IY
milk,milk,M IH  L K
million,MIL-yun,M IH  L Y AH  N
mind,mynd,M AY  N D
mineral,MIN-uh-ruhl,M IH  N ER  AH  L
minimum,MIN-uh-muhm,M IH  N AH  M AH  M
minister,MIN-uh-stur,M IH  N AH  S T ER
minor,MY-nur,M AY  N ER
minority,my-NOR-i-tee,M AY  N AO  R AH  T IY
minute,MIN-it,M IH  N AH  T
mirror,MIR-ur,M IH  R ER
miss,mis,M IH  S
missing,MIS-ing,M IH  S IH  NG
mission,MISH-uhn,M IH  SH AH  N
mistake,mis-TAYK,M IH  S T EY  K
mix,miks,M IH  K S
mixed,mikst,M IH  K S T
mixture,MIKS-chur,M IH  K S CH ER
model,MOD-uhl,M AA  D AH  L
modern,MOD-urn,M AA  D ER  N
modify,MOD-uh-fye,M AA  D AH  F AY
mom,mom,M AA  M
moment,MOH-muhnt,M OW  M AH  N T
Monday,MUHN-day,M AH  N D IY
money,MUH-nee,M AH  N IY
monitor,MON-i-tur,M AA  N AH  T ER
monkey,MUN-kee,M AH  NG K IY
month,muhnth,M AH  N TH
mood,mood,M UW  D
moon,moon,M UW  N
moral,MAWR-uhl,M AO  R AH  L
more,mawr,M AO  R
morning,MAWR-ning,M AO  R N IH  NG
most,mohst,M OW  S T
mostly,MOHST-lee,M OW  S T L IY
mother,MUH-thur,M AH  DH ER
motor,MOH-tur,M OW  T ER
motorcycle,MOH-tur-sy-kul,M OW  T ER  S AY  K AH  L
mount,mownt,M AW  N T
mountain,MOWN-tin,M AW  N T AH  N
mouse,mowss,M AW  S
mouth,mouth,M AW  TH
move,moov,M UW  V
movement,MOOV-muhnt,M UW  V M AH  N T
movie,MOO-vee,M UW  V IY
much,muhch,M AH  CH
mud,muhd,M AH  D
multiple,MUHL-tuh-puhl,M AH  L T AH  P AH  L
multiply,MUHL-tuh-pleye,M AH  L T AH  P L AY
murder,MUR-dur,M ER  D ER
muscle,MUHS-uhl,M AH  S AH  L
museum,MYOOZ-ee-um,M Y UW  Z IY  AH  M
music,MYOO-zik,M Y UW  Z IH  K
musical,MYOO-zik-uhl,M Y UW  Z IH  K AH  L
musician,myoo-ZISH-uhn,M Y UW  Z IH  SH AH  N
must,muhst,M AH  S T
my,my,M AY
myself,my-SELF,M AY  S EH  L F
mysterious,mis-TEER-ee-uhs,M IH  S T IH  R IY  AH  S
mystery,MIS-tuh-ree,M IH  S T ER  IY
nail,nayl,N EY  L
name,naym,N EY  M
narrative,NAR-uh-tiv,N AE  R AH  T IH  V
narrow,NAR-oh,N EH  R OW
nation,NAY-shun,N EY  SH AH  N
national,NASH-uh-nl,N AE  SH AH  N AH  L
native,NAY-tiv,N EY  T IH  V
natural,NACH-uh-ruhl,N AE  CH ER  AH  L
naturally,NACH-uh-ree,N AE  CH ER  AH  L IY
nature,NAY-chur,N EY  CH ER
near,neer,N IH  R
nearly,NEER-lee,N IH  R L IY
neat,neet,N IY  T
necessarily,NES-uh-ser-uh-lee,N EH  S AH  S EH  R AH  L IY
necessary,NES-uh-ser-ee,N EH  S AH  S EH  R IY
neck,nek,N EH  K
need,need,N IY  D
needle,NEE-dl,N IY  D AH  L
negative,NEG-uh-tiv,N EH  G AH  T IH  V
neighbor,NAY-bur,N EY  B ER
neighborhood,NAY-bur-hood,N EY  B ER  HH UH  D
neither,NEE-thur,N IY  DH ER
nerve,nurv,N ER  V
nervous,NUR-vuhs,N ER  V AH  S
net,net,N EH  T
network,NET-wurk,N EH  T W ER  K
never,NEV-ur,N EH  V ER
nevertheless,NEV-ur-thuh-LESS,N EH  V ER  DH AH  L EH  S
new,noo,N UW
news,nyooz,N UW  Z
newspaper,NOOZ-pay-pur,N UW  Z P EY  P ER
next,nekst,N EH  K S T
nice,nys,N AY  S
night,nyte,N AY  T
nightmare,NYT-mair,N AY  T M EH  R
nine,nayn,N AY  N
nineteen,NYN-teen,N AY  N T IY  N
ninety,NYN-tee,N AY  N T IY
no,noh,N OW
no one,noh wuhn,N UW  N
nobody,NOH-buh-dee,N OW  B AA  D IY
noise,noyz,N OY  Z
noisy,NOY-zee,N OY  Z IY
none,nun,N AH  N
nor,nor,N AO  R
normal,NAWR-muhl,N AO  R M AH  L
normally,NAWR-muh-lee,N AO  R M AH  L IY
north,north,N AO  R TH
northern,NAWR-thurn,N AO  R DH ER  N
nose,nohz,N OW  Z
not,nawt,N AA  T
note,noht,N OW  T
nothing,NUHTH-ing,N AH  TH IH  NG
notice,NOH-tis,N OW  T AH  S
notion,NOH-shun,N OW  SH AH  N
novel,NAH-vuhl,N AA  V AH  L
November,noh-VEM-bur,N OW  V EH  M B ER
now,now,N AW
nowhere,NOH-wair,N OW  W EH  R
nuclear,NOO-klee-ur,N UW  K L IY  ER
number,NUM-bur,N AH  M B ER
numerous,NYOO-muh-ruhs,N UW  M ER  AH  S
nurse,nurs,N ER  S
nut,nuht,N AH  T
obey,oh-BAY,OW  B EY
"""object","OB-jekt (noun), uhb-JEKT (verb)""",AA  B JH EH  K T
objective,ob-JEK-tiv,AH  B JH EH  K T IH  V
obligation,ob-li-GAY-shun,AA  B L AH  G EY  SH AH  N
observation,ob-zer-VAY-shun,AA  B Z ER  V EY  SH AH  N
observe,ob-ZURV,AH  B Z ER  V
obtain,ob-TAYN,AH  B T EY  N
obvious,OB-vee-uhs,AA  B V IY  AH  S
obviously,OB-vee-uhs-lee,AA  B V IY  AH  S L IY
occasion,uh-KAY-zhun,AH  K EY  ZH AH  N
occasionally,uh-KAY-zhun-uh-lee,AH  K EY  ZH AH  N AH  L IY
occur,uh-KUR,AH  K ER
ocean,OH-shun,OW  SH AH  N
October,ok-TOH-bur,AA  K T OW  B ER
odd,od,AA  D
of,uhv,AH  V
off,awf,AO  F
offend,uh-FEND,AH  F EH  N D
offense,uh-FENS,AH  F EH  N S
offensive,uh-FEN-siv,AH  F EH  N S IH  V
offer,AW-fur,AO  F ER
office,AW-fis,AO  F AH  S
officer,AW-fi-sur,AO  F AH  S ER
official,uh-FISH-uhl,AH  F IH  SH AH  L
often,OF-en,AO  F AH  N
oh,oh,OW
oil,oyl,OY  L
OK,oh-KAY,OW  K EY
old,ohld,OW  L D
on,awn,AA  N
once,wuhns,W AH  N S
one,wuhn,W AH  N
onion,UN-yun,AH  N Y AH  N
online,AWN-lyn,AO  N L AY  N
only,OHN-lee,OW  N L IY
onto,AWN-too,AA  N T UW
open,OH-puhn,OW  P AH  N
opening,OH-puh-ning,OW  P AH  N IH  NG
operate,AH-pruh-rayt,AA  P ER  EY  T
operation,op-uh-RAY-shun,AA  P ER  EY  SH AH  N
opinion,uh-PIN-yun,AH  P IH  N Y AH  N
opponent,uh-POH-nuhnt,AH  P OW  N AH  N T
opportunity,op-or-TOO-ni-tee,AA  P ER  T UW  N AH  T IY
oppose,uh-POHZ,AH  P OW  Z
opposed,uh-POHZD,AH  P OW  Z D
opposite,OP-uh-zit,AA  P AH  Z AH  T
opposition,op-uh-ZISH-uhn,AA  P AH  Z IH  SH AH  N
option,OP-shun,AA  P SH AH  N
or,awr,AO  R
orange,OR-uhnj,AO  R AH  N JH
order,OR-dur,AO  R D ER
ordinary,OR-dn-er-ee,AO  R D AH  N EH  R IY
organ,OR-gun,AO  R G AH  N
organization,or-guh-nuh-ZAY-shun,AO  R G AH  N AH  Z EY  SH AH  N
organize,OR-guh-nize,AO  R G AH  N AY  Z
organized,OR-guh-nized,AO  R G AH  N AY  Z D
organizer,OR-guh-niz-ur,AO  R G AH  N AY  Z ER
origin,OR-uh-jin,AO  R AH  JH AH  N
original,uh-RIJ-uh-nl,ER  IH  JH AH  N AH  L
originally,uh-RIJ-uh-nuh-lee,ER  IH  JH AH  N AH  L IY
other,UHTH-ur,AH  DH ER
otherwise,UHTH-ur-wyz,AH  DH ER  W AY  Z
ought,awt,AO  T
our,our,AW  ER
ours,ourz,AW  ER  Z
ourselves,our-SELVS,AW  ER  S EH  L V Z
out,out,AW  T
outcome,OUT-kuhm,AW  T K AH  M
outdoor,OUT-dawr,AW  T D AO  R
outdoors,OUT-dawrz,AW  T D AO  R Z
outer,OUT-ur,AW  T ER
outline,OUT-lyn,AW  T L AY  N
outside,OUT-syd,AW  T S AY  D
oven,UH-vuhn,AH  V AH  N
over,OH-vur,OW  V ER
overall,OH-vur-awl,OW  V ER  AO  L
overseas,OH-vur-seez,OW  V ER  S IY  Z
owe,oh,OW
own,ohn,OW  N
owner,OH-nur,OW  N ER
pace,payss,P EY  S
pack,pak,P AE  K
package,PA-kij,P AE  K AH  JH
page,payj,P EY  JH
pain,payn,P EY  N
painful,PAYN-fuhl,P EY  N F AH  L
paint,paynt,P EY  N T
painter,PAYN-tur,P EY  N T ER
painting,PAYN-ting,P EY  N T IH  NG
pair,pair,P EH  R
palace,PAL-uhs,P AE  L AH  S
pale,payl,P EY  L
pan,pan,P AE  N
panel,PAN-uhl,P AE  N AH  L
pants,pants,P AE  N T S
paper,PAY-pur,P EY  P ER
paragraph,PAR-uh-graf,P AE  R AH  G R AE  F
parent,PAIR-uhnt,P EH  R AH  N T
park,park,P AA  R K
parking,PAHR-king,P AA  R K IH  NG
part,part,P AA  R T
participant,par-TIS-uh-puhnt,P AA  R T IH  S AH  P AH  N T
participate,par-TIS-uh-payt,P AA  R T IH  S AH  P EY  T
particular,par-TIK-yuh-lur,P ER  T IH  K Y AH  L ER
particularly,par-TIK-yuh-ler-lee,P AA  R T IH  K Y AH  L ER  L IY
partly,PART-lee,P AA  R T L IY
partner,PAHRT-nur,P AA  R T N ER
party,PAHR-tee,P AA  R T IY
pass,pas,P AE  S
passage,PAS-ij,P AE  S AH  JH
passenger,PAS-uhnj-ur,P AE  S AH  N JH ER
passion,PA-shun,P AE  SH AH  N
passport,PAS-port,P AE  S P AO  R T
past,past,P AE  S T
path,path,P AE  TH
patient,PAY-shuhnt,P EY  SH AH  N T
pattern,PAT-urn,P AE  T ER  N
pay,pay,P EY
payment,PAY-muhnt,P EY  M AH  N T
peace,pees,P IY  S
peaceful,PEES-fuhl,P IY  S F AH  L
pen,pen,P EH  N
pencil,PEN-suhl,P EH  N S AH  L
penny,PEN-ee,P EH  N IY
people,PEE-puhl,P IY  P AH  L
pepper,PEP-ur,P EH  P ER
per,pur,P ER
percent,per-SENT,P ER  S EH  N T
percentage,per-SEN-tij,P ER  S EH  N T AH  JH
perfect,PUR-fikt,P ER  F EH  K T
perfectly,PUR-fikt-lee,P ER  F AH  K T L IY
perform,pur-FORM,P ER  F AO  R M
performance,pur-FORM-uhns,P ER  F AO  R M AH  N S
perhaps,per-HAPS,P ER  HH AE  P S
period,PEER-ee-uhd,P IH  R IY  AH  D
permanent,PUR-muh-nuhnt,P ER  M AH  N AH  N T
permission,pur-MISH-uhn,P ER  M IH  SH AH  N
permit,PUR-mit,P ER  M IH  T
person,PUR-suhn,P ER  S AH  N
personal,PUR-suh-nuhl,P ER  S IH  N IH  L
personality,pur-suh-NAL-uh-tee,P ER  S AH  N AE  L IH  T IY
personally,PUR-suh-nuh-lee,P ER  S AH  N AH  L IY
perspective,pur-SPEK-tiv,P ER  S P EH  K T IH  V
persuade,pur-SWAYD,P ER  S W EY  D
pet,pet,P EH  T
phase,fayz,F EY  Z
phenomenon,fi-NOM-uh-non,F AH  N AA  M AH  N AA  N
philosophy,fi-LOH-suh-fee,F AH  L AA  S AH  F IY
phone,fohn,F OW  N
photo,FOH-toh,F OW  T OW
photograph,FOH-tuh-graf,F OW  T AH  G R AE  F
photographer,fuh-TOG-ruh-fur,F AH  T AA  G R AH  F ER
photography,fuh-TOG-ruh-fee,F AH  T AA  G R AH  F IY
phrase,frayz,F R EY  Z
physical,FIZ-i-kuhl,F IH  Z IH  K AH  L
physics,FIZ-iks,F IH  Z IH  K S
piano,pee-AH-noh,P IY  AE  N OW
pick,pik,P IH  K
picture,PIK-chur,P IH  K CH ER
piece,pees,P IY  S
pig,pig,P IH  G
pile,pyle,P AY  L
pilot,PIE-luht,P AY  L AH  T
pin,pin,P IH  N
pink,pink,P IH  NG K
pipe,pype,P AY  P
pitch,pich,P IH  CH
place,playss,P L EY  S
plain,playn,P L EY  N
plan,plan,P L AE  N
plane,playn,P L EY  N
planet,PLAN-it,P L AE  N AH  T
planning,PLAN-ing,P L AE  N IH  NG
plant,plant,P L AE  N T
plastic,PLAS-tik,P L AE  S T IH  K
plate,playt,P L EY  T
platform,PLAT-form,P L AE  T F AO  R M
play,play,P L EY
player,PLAY-ur,P L EY  ER
pleasant,PLEZ-uhnt,P L EH  Z AH  N T
please,pleez,P L IY  Z
pleased,pleezd,P L IY  Z D
pleasure,PLEH-zhur,P L EH  ZH ER
plenty,PLEN-tee,P L EH  N T IY
plot,plawt,P L AA  T
plus,pluhs,P L AH  S
pocket,PAHK-it,P AA  K AH  T
poem,POH-uhm,P OW  AH  M
poet,POH-it,P OW  AH  T
poetry,POH-uh-tree,P OW  AH  T R IY
point,poynt,P OY  N T
pointed,POYNT-uhd,P OY  N T AH  D
poison,POY-zuhn,P OY  Z AH  N
poisonous,POY-zuh-nuhs,P OY  Z AH  N AH  S
police,puh-LEES,P AH  L IY  S
policeman,puh-LEES-muhn,P AH  L IY  S M AH  N
policy,POL-uh-see,P AA  L AH  S IY
polite,puh-LYTE,P AH  L AY  T
political,puh-LIT-ik-uhl,P AH  L IH  T AH  K AH  L
politician,pol-ih-TISH-uhn,P AA  L AH  T IH  SH AH  N
politics,POL-ih-tiks,P AA  L AH  T IH  K S
pollution,puh-LOO-shun,P AH  L UW  SH AH  N
pool,pool,P UW  L
poor,poor,P UH  R
pop,pop,P AA  P
popular,POP-yuh-lur,P AA  P Y AH  L ER
popularity,pop-yuh-LAR-uh-tee,P AA  P Y AH  L EH  R AH  T IY
population,pop-yuh-LAY-shun,P AA  P Y AH  L EY  SH AH  N
port,port,P AO  R T
portrait,PAWR-trit,P AO  R T R AH  T
pose,pohz,P OW  Z
position,puh-ZISH-uhn,P AH  Z IH  SH AH  N
positive,PAHZ-uh-tiv,P AA  Z AH  T IH  V
possess,puh-ZES,P AH  Z EH  S
possession,puh-ZESH-uhn,P AH  Z EH  SH AH  N
possibility,pos-uh-BIL-i-tee,P AA  S AH  B IH  L AH  T IY
possible,PAH-suh-buhl,P AA  S AH  B AH  L
possibly,PAH-suh-blee,P AA  S AH  B L IY
post,pohst,P OW  S T
poster,POH-stur,P OW  S T ER
pot,pot,P AA  T
potato,puh-TAY-toh,P AH  T EY  T OW
potential,puh-TEN-shuhl,P AH  T EH  N SH AH  L
pound,pownd,P AW  N D
pour,poor,P AO  R
poverty,POV-ur-tee,P AA  V ER  T IY
powder,POW-dur,P AW  D ER
power,POW-ur,P AW  ER
powerful,POW-ur-fuhl,P AW  ER  F AH  L
practical,PRAK-ti-kuhl,P R AE  K T AH  K AH  L
"""  practice","PRAK-tis (noun), PRAK-tik (verb)""",P R AE  K T AH  S
praise,prayz,P R EY  Z
pray,pray,P R EY
prayer,prair,P R EH  R
predict,pri-DIKT,P R IH  D IH  K T
prediction,pri-DIK-shun,P R IY  D IH  K SH AH  N
prefer,pri-FUR,P R AH  F ER
pregnant,PREG-nuhnt,P R EH  G N AH  N T
preparation,prep-uh-RAY-shun,P R EH  P ER  EY  SH AH  N
prepare,pri-PAIR,P R IY  P EH  R
prepared,pri-PAIRD,P R IY  P EH  R D
presence,PREZ-uhns,P R EH  Z AH  N S
"""  present","PREZ-uhnt (noun), pri-ZENT (verb)""",P R EH  Z AH  N T
presentation,prez-uhn-TAY-shun,P R EH  Z AH  N T EY  SH AH  N
preserve,pri-ZURV,P R AH  Z ER  V
president,PREZ-uh-dent,P R EH  Z AH  D EH  N T
press,pres,P R EH  S
pressure,PRESH-ur,P R EH  SH ER
pretend,pri-TEND,P R IY  T EH  N D
pretty,PRIT-ee,P R IH  T IY
prevent,pri-VENT,P R IH  V EH  N T
previous,PREE-vee-uhs,P R IY  V IY  AH  S
previously,PREE-vee-uhs-lee,P R IY  V IY  AH  S L IY
price,prys,P R AY  S
priest,preest,P R IY  S T
primary,PRY-mer-ee,P R AY  M EH  R IY
prime,prym,P R AY  M
prince,pryns,P R IH  N S
princess,PRIN-ses,P R IH  N S EH  S
principal,PRIN-suh-puhl,P R IH  N S AH  P AH  L
principle,PRIN-suh-puhl,P R IH  N S AH  P AH  L
print,prynt,P R IH  N T
printer,PRIN-tur,P R IH  N T ER
printing,PRIN-ting,P R IH  N T IH  NG
priority,pry-OR-i-tee,P R AY  AO  R AH  T IY
prison,PRIZ-uhn,P R IH  Z AH  N
prisoner,PRIZ-uh-nur,P R IH  Z AH  N ER
privacy,PRY-vuh-see,P R AY  V AH  S IY
private,PRY-vuht,P R AY  V AH  T
prize,pryz,P R AY  Z
probably,PROB-uh-blee,P R AA  B AH  B L IY
problem,PROB-luhm,P R AA  B L AH  M
procedure,pruh-SEE-jur,P R AH  S IY  JH ER
process,PRAH-ses,P R AA  S EH  S
"""  produce","PRUH-doos (verb), PROH-doos (noun)""",P R AH  D UW  S
producer,pruh-DOO-sur,P R AH  D UW  S ER
product,PROD-uhkt,P R AA  D AH  K T
production,pruh-DUK-shun,P R AH  D AH  K SH AH  N
profession,pruh-FESH-uhn,P R AH  F EH  SH AH  N
professional,pruh-FESH-uh-nuhl,P R AH  F EH  SH AH  N AH  L
professor,pruh-FES-ur,P R AH  F EH  S ER
profile,PROH-fyl,P R OW  F AY  L
profit,PROH-fit,P R AA  F AH  T
program,PROH-gram,P R OW  G R AE  M
progress,PROH-gres,P R AA  G R EH  S
project,PROH-jekt,P R AA  JH EH  K T
promise,PROM-is,P R AA  M AH  S
promote,pruh-MOHT,P R AH  M OW  T
pronounce,pruh-NOUNS,P R AH  N AW  N S
proof,proof,P R UW  F
proper,PRAH-pur,P R AA  P ER
properly,PRAH-pur-lee,P R AA  P ER  L IY
property,PROP-ur-tee,P R AA  P ER  T IY
proposal,pruh-POH-zuhl,P R AH  P OW  Z AH  L
propose,pruh-POHZ,P R AH  P OW  Z
prospect,PROS-pekt,P R AA  S P EH  K T
protect,pruh-TEKT,P R AH  T EH  K T
protection,pruh-TEK-shun,P R AH  T EH  K SH AH  N
protest,PROH-test,P R OW  T EH  S T
proud,proud,P R AW  D
prove,proov,P R UW  V
provide,pruh-VID,P R AH  V AY  D
psychologist,sy-KOL-uh-jist,S AY  K AA  L AH  JH AH  S T
psychology,sy-KOL-uh-jee,S AY  K AA  L AH  JH IY
public,PUB-lik,P AH  B L IH  K
publication,pub-li-KAY-shun,P AH  B L IH  K EY  SH AH  N
publish,PUB-lish,P AH  B L IH  SH
pull,pul,P UH  L
punish,PUN-ish,P AH  N IH  SH
punishment,PUN-ish-muhnt,P AH  N IH  SH M AH  N T
purchase,PUR-chuhs,P ER  CH AH  S
pure,pyur,P Y UH  R
purple,PUR-puhl,P ER  P AH  L
purpose,PUR-puhs,P ER  P AH  S
pursue,pur-SOO,P ER  S UW
push,poosh,P UH  SH
put,po͝ot,P UH  T
Qualification,kwah-li-fi-KAY-shun,K W AA  L AH  F AH  K EY  SH AH  N
Queen,kween,K W IY  N
Question,KWES-chun,K W EH  S CH AH  N
Quick,kwik,K W IH  K
Quiet,KWY-it,K W AY  AH  T
Quit,kwit,K W IH  T
Quite,kwahyt,K W AY  T
Quote,kwoht,K W OW  T
Radio,RAY-dee-oh,R EY  D IY  OW
Rain,rayn,R EY  N
Raise,rayz,R EY  Z
Range,raynj,R EY  N JH
Rank,rangk,R AE  NG K
Rapid,RAP-id,R AE  P AH  D
Rate,rayt,R EY  T
Reach,reech,R IY  CH
""" Read","reed (present), red (past)""",R EH  D
Ready,RED-ee,R EH  D IY
Real,reel,R IY  L
Reason,REE-zun,R IY  Z AH  N
Receipt,ri-SEET,R IH  S IY  T
Receive,ri-SEEV,R AH  S IY  V
Recent,REE-sent,R IY  S AH  N T
Regular,REG-yuh-lur,R EH  G Y AH  L ER
Reject,ri-JEKT,R IH  JH EH  K T
Relationship,ri-LAY-shun-ship,R IY  L EY  SH AH  N SH IH  P
Remove,ri-MOOV,R IY  M UW  V
Rent,rent,R EH  N T
Report,ri-PORT,R IY  P AO  R T
Require,ri-KWYE-er,R IY  K W AY  ER
Rescue,RES-kyoo,R EH  S K Y UW
Research,REE-surch,R IY  S ER  CH
Restaurant,RES-tuh-rawnt,R EH  S T ER  AA  N T
Return,ri-TURN,R IH  T ER  N
Reveal,ri-VEEL,R IH  V IY  L
Review,ri-VYOOB,R IY  V Y UW
Revolution,rev-uh-LOO-shun,R EH  V AH  L UW  SH AH  N
Safe,sayf,S EY  F
Sail,sayl,S EY  L
Salary,SAL-uh-ree,S AE  L ER  IY
Sale,sayl,S EY  L
Salt,sawlt,S AO  L T
Same,saym,S EY  M
Sandwich,SAND-wich,S AE  N D W IH  CH
Science,SY-uhns,S AY  AH  N S
Score,skawr,S K AO  R
School,skool,S K UW  L
Sea,see,S IY
Search,surch,S ER  CH
Season,SEE-zun,S IY  Z AH  N
Secret,SEE-krit,S IY  K R AH  T
Sell,sel,S EH  L
Send,send,S EH  N D
Sentence,SEN-tuhns,S EH  N T AH  N S
Seven,SEV-uhn,S EH  V AH  N
Shape,shayp,SH EY  P
Share,shair,SH EH  R
Shiny,SHY-nee,SH AY  N IY
Ship,ship,SH IH  P
Short,short,SH AO  R T
Should,shood,SH UH  D
Show,shoh,SH OW
Simple,SIM-puhl,S IH  M P AH  L
Sleep,sleep,S L IY  P
Snow,snoh,S N OW
Soap,soh-p,S OW  P
Soccer,SAH-ker,S AA  K ER
Soft,sawft,S AA  F T
Software,SAWFT-wair,S AO  F T W EH  R
Space,spayss,S P EY  S
Speak,speek,S P IY  K
Speaker,SPEE-ker,S P IY  K ER
Special,SPESH-uhl,S P EH  SH AH  L
Specialist,SPESH-uh-list,S P EH  SH AH  L AH  S T
Species,SPEE-sheez,S P IY  SH IY  Z
Specific,spuh-SIF-ik,S P AH  S IH  F IH  K
Specifically,spuh-SIF-ik-lee,S P AH  S IH  F IH  K L IY
Speech,spee-ch,S P IY  CH
Speed,speed,S P IY  D
Spell,spel,S P EH  L
Spelling,SPEL-ing,S P EH  L IH  NG
Spend,spend,S P EH  N D
Spending,SPEN-ding,S P EH  N D IH  NG
Spicy,SPY-see,S P AY  S IY
Spider,SPY-der,S P AY  D ER
Spirit,SPI-rit,S P IH  R AH  T
Spiritual,SPIR-uh-choo-uhl,S P IH  R IH  CH AH  W AH  L
Split,split,S P L IH  T
Spoken,SPOH-ken,S P OW  K AH  N
Sponsor,SPON-sor,S P AA  N S ER
Spoon,spoon,S P UW  N
Sport,sport,S P AO  R T
Spot,spot,S P AA  T
Spread,spred,S P R EH  D
Spring,spring,S P R IH  NG
Square,skwair,S K W EH  R
Stable,STAY-buhl,S T EY  B AH  L
Stadium,STAY-dee-um,S T EY  D IY  AH  M
Staff,staf,S T AE  F
Stage,stayj,S T EY  JH
Stair,stair,S T EH  R
Stamp,stamp,S T AE  M P
Stand,stand,S T AE  N D
Standard,STAN-dard,S T AE  N D ER  D
Star,star,S T AA  R
